Teks,Label,Cleaning,Case Folding,Tweet Bersih
b'Indonesia harus memperketat pintu-pintu masuk dari berbagai negara agar mutase Corona tidak menimbulkan permasalahan baru #SemangatPulihkanBangsa #LihatDenganJernih https://t.co/6ul5MuzhoF',1,Indonesia harus memperketat pintupintu masuk dari berbagai negara agar mutase Corona tidak menimbulkan permasalahan baru,indonesia harus memperketat pintupintu masuk dari berbagai negara agar mutase corona tidak menimbulkan permasalahan baru,indonesia ketat pintupintu masuk negara mutase corona timbul masalah
"b'Penularan Covid Turun, Saham RALS &amp; MPPA Cs Mulai Naik Daun: Jakarta, CNBC Indonesia - Saham emiten ritel sepertinya mulai bangkit kembali, setelah kasus aktif virus corona (Covid-19) di Indonesia yang mulai\xc2\xa0... https://t.co/xyfOOcPzU7 #saham #investasi'",-1,Penularan Covid Turun Saham RALS amp MPPA Mulai Naik Daun Jakarta CNBC Indonesia Saham emiten ritel sepertinya mulai bangkit kembali setelah kasus aktif virus corona Covid Indonesia yang mulai,penularan covid turun saham rals amp mppa mulai naik daun jakarta cnbc indonesia saham emiten ritel sepertinya mulai bangkit kembali setelah kasus aktif virus corona covid indonesia yang mulai,tular covid turun saham rals amp mppa daun jakarta cnbc indonesia saham emiten ritel bangkit aktif virus corona covid indonesia
b'Indonesia harus memperketat pintu-pintu masuk dari berbagai negara agar mutase Corona tidak menimbulkan permasalahan baru #SemangatPulihkanBangsa #LihatDenganJernih https://t.co/a3dtM6M8HA',1,Indonesia harus memperketat pintupintu masuk dari berbagai negara agar mutase Corona tidak menimbulkan permasalahan baru,indonesia harus memperketat pintupintu masuk dari berbagai negara agar mutase corona tidak menimbulkan permasalahan baru,indonesia ketat pintupintu masuk negara mutase corona timbul masalah
b'Organisasi Kesehatan Dunia Mengapresiasi Indonesia dalam solidaritas global terkait vaksin virus corona tipe baru atau Covid-19. https://t.co/PLlJn0hzWx',1,Organisasi Kesehatan Dunia Mengapresiasi Indonesia dalam solidaritas global terkait vaksin virus corona tipe baru atau Covid,organisasi kesehatan dunia mengapresiasi indonesia dalam solidaritas global terkait vaksin virus corona tipe baru atau covid,organisasi sehat dunia apresiasi indonesia solidaritas global kait vaksin virus corona tipe covid
b'Organisasi Kesehatan Dunia Mengapresiasi Indonesia dalam solidaritas global terkait vaksin virus corona tipe baru atau Covid-19. https://t.co/4XzcvZ9p5h',1,Organisasi Kesehatan Dunia Mengapresiasi Indonesia dalam solidaritas global terkait vaksin virus corona tipe baru atau Covid,organisasi kesehatan dunia mengapresiasi indonesia dalam solidaritas global terkait vaksin virus corona tipe baru atau covid,organisasi sehat dunia apresiasi indonesia solidaritas global kait vaksin virus corona tipe covid
b'Indonesia sudah setahun lebih dihantam oleh pandemi COVID-19. Wabah tersebut meluluhlantakkan perekonomian. Imbasnya pun dirasakan ke sektor perpajakan. https://t.co/FU8hrh6PrR',1,Indonesia sudah setahun lebih dihantam oleh pandemi COVID Wabah tersebut meluluhlantakkan perekonomian Imbasnya pun dirasakan sektor perpajakan,indonesia sudah setahun lebih dihantam oleh pandemi covid wabah tersebut meluluhlantakkan perekonomian imbasnya pun dirasakan sektor perpajakan,indonesia tahun hantam pandemi covid wabah meluluhlantakkan ekonomi imbas rasa sektor paja
b'@Vaksin_Update Siap siap karna #AstraZenecaLawanCorona\nTetap optimis menjadikan Indonesia bersih dri corona',1,Update Siap siap karna Tetap optimis menjadikan Indonesia bersih dri corona,update siap siap karna tetap optimis menjadikan indonesia bersih dri corona,update karna optimis jadi indonesia bersih dri corona
"b'18.28 #BeritaSONORA - UPDATE Kasus Corona Indonesia 22 Maret 2021: Positif 5.744, Sembuh 7.177, Meninggal 161\n @tribunnews\nhttps://t.co/zyT0Un0ZQz'",1,UPDATE Kasus Corona Indonesia Maret Positif Sembuh Meninggal,update kasus corona indonesia maret positif sembuh meninggal,update corona indonesia maret positif sembuh tinggal
"b'UPDATE Kasus Corona Indonesia 22 Maret 2021: Positif 5.744, Sembuh 7.177, Meninggal 161\n \nhttps://t.co/rOYcj8fcuq'",1,UPDATE Kasus Corona Indonesia Maret Positif Sembuh Meninggal,update kasus corona indonesia maret positif sembuh meninggal,update corona indonesia maret positif sembuh tinggal
"b'BREAKING NEWS Update Corona Indonesia 22 Maret 2021: Tambah 5.744 Kasus, Total 1.465.928 Positif - Tribunnews https://t.co/sb3cdQQHWU https://t.co/r1V8kNBZoB'",1,BREAKING NEWS Update Corona Indonesia Maret Tambah Kasus Total Positif Tribunnews,breaking news update corona indonesia maret tambah kasus total positif tribunnews,breaking news update corona indonesia maret total positif tribunnews
"b'Mengapresiasi Indonesia dalam solidaritas global terkait vaksin virus corona tipe baru atau Covid-19. \nPerwakilan Organisasi Kesehatan Dunia (WHO), Navaratnasamy Paranietharan \n#VaksinUntukIndonesiaSehat #SukseskanProtokolKesehatan https://t.co/29RifxpU9b'",1,Mengapresiasi Indonesia dalam solidaritas global terkait vaksin virus corona tipe baru atau Covid Perwakilan Organisasi Kesehatan Dunia WHO Navaratnasamy Paranietharan,mengapresiasi indonesia dalam solidaritas global terkait vaksin virus corona tipe baru atau covid perwakilan organisasi kesehatan dunia who navaratnasamy paranietharan,apresiasi indonesia solidaritas global kait vaksin virus corona tipe covid wakil organisasi sehat dunia who navaratnasamy paranietharan
"b'Mengapresiasi Indonesia dalam solidaritas global terkait vaksin virus corona tipe baru atau Covid-19. \nPerwakilan Organisasi Kesehatan Dunia (WHO), Navaratnasamy Paranietharan \n\n#VaksinUntukIndonesiaSehat #SukseskanProtokolKesehatan https://t.co/BTmfLiXSOL'",1,Mengapresiasi Indonesia dalam solidaritas global terkait vaksin virus corona tipe baru atau Covid Perwakilan Organisasi Kesehatan Dunia WHO Navaratnasamy Paranietharan,mengapresiasi indonesia dalam solidaritas global terkait vaksin virus corona tipe baru atau covid perwakilan organisasi kesehatan dunia who navaratnasamy paranietharan,apresiasi indonesia solidaritas global kait vaksin virus corona tipe covid wakil organisasi sehat dunia who navaratnasamy paranietharan
"b'Vaksinasi COVID-19 bawa angin segar untuk industri film dan musik: Keberadaan vaksin COVID-19 diharapkan bisa membawa angin segar untuk industri perfilman dan musik di Indonesia yang sejak tahun lalu terdampak pandemi virus corona.Direktur Perfilman,\xe2\x80\xa6 https://t.co/4mdaWkaseO https://t.co/BuZR8VkgEr'",1,Vaksinasi COVID bawa angin segar untuk industri film dan musik Keberadaan vaksin COVID diharapkan bisa membawa angin segar untuk industri perfilman dan musik Indonesia yang sejak tahun lalu terdampak pandemi virus coronaDirektur Perfilman,vaksinasi covid bawa angin segar untuk industri film dan musik keberadaan vaksin covid diharapkan bisa membawa angin segar untuk industri perfilman dan musik indonesia yang sejak tahun lalu terdampak pandemi virus coronadirektur perfilman,vaksinasi covid bawa angin segar industri film musik ada vaksin covid harap bawa angin segar industri film musik indonesia dampak pandemi virus coronadirektur film
"b'Kasus positif COVID-19 di Indonesia per 22 Maret 2021 bertambah 5.744, total menjadi 1.465.928 orang. Dari data ini, 128.250 merupakan kasus aktif atau pasien dalam perawatan.\n\nhttps://t.co/dTJ05WtDPM'",1,Kasus positif COVID Indonesia per Maret bertambah total menjadi orang Dari data ini merupakan kasus aktif atau pasien dalam perawatan,kasus positif covid indonesia per maret bertambah total menjadi orang dari data ini merupakan kasus aktif atau pasien dalam perawatan,positif covid indonesia maret tambah total orang data aktif pasien awat
"b'Nggak terasa, pandemi COVID -19 sudah ada di Indonesia selama setahun lebih, dan semakin banyak juga varian Virus Corona baru yang masuk ke Tanah Air, salah satunya varian B117 yang belakangan ini jadi bahan perbincangan banyak orang. https://t.co/cMEn2JxPiO'",1,Nggak terasa pandemi COVID sudah ada Indonesia selama setahun lebih dan semakin banyak juga varian Virus Corona baru yang masuk Tanah Air salah satunya varian yang belakangan ini jadi bahan perbincangan banyak orang,nggak terasa pandemi covid sudah ada indonesia selama setahun lebih dan semakin banyak juga varian virus corona baru yang masuk tanah air salah satunya varian yang belakangan ini jadi bahan perbincangan banyak orang,nggak pandemi covid indonesia tahun varian virus corona masuk tanah air salah satu varian bahan bincang orang
"b'Saat ini Indonesia masih dilanda wabah pandemi, virus Corona yang hingga saat ini masih menyebar. Sudah banyak korban yang terpapar virus Corona, bahkan sudah banyak korban yang meninggal akibat terpapar virus tersebut.'",1,Saat ini Indonesia masih dilanda wabah pandemi virus Corona yang hingga saat ini masih menyebar Sudah banyak korban yang terpapar virus Corona bahkan sudah banyak korban yang meninggal akibat terpapar virus tersebut,saat ini indonesia masih dilanda wabah pandemi virus corona yang hingga saat ini masih menyebar sudah banyak korban yang terpapar virus corona bahkan sudah banyak korban yang meninggal akibat terpapar virus tersebut,indonesia landa wabah pandemi virus corona sebar korban papar virus corona korban tinggal akibat papar virus
"b'Update jumlah penderita Covid-19 di Indonesia , Hari Jumat 19 Maret  2021. Mari kita jaga kesehatan kita &amp; orang-orang disekitar kita , Selalu cuci tangan, Jaga Jarak  dan #pakaimasker Sobat Jak\n\n#bersatulawancovid19 #COVID19 #corona #coronavirus #jaktv #jakarta #indonesia https://t.co/xh1dES7a3W'",0,Update jumlah penderita Covid Indonesia Hari Jumat Maret Mari kita jaga kesehatan kita amp orangorang disekitar kita Selalu cuci tangan Jaga Jarak dan Sobat Jak,update jumlah penderita covid indonesia hari jumat maret mari kita jaga kesehatan kita amp orangorang disekitar kita selalu cuci tangan jaga jarak dan sobat jak,update derita covid indonesia jumat maret mari jaga sehat amp orangorang sekitar cuci tangan jaga jarak sobat jak
"b'BREAKING NEWS: Update Kasus Corona di Indonesia per 22 Maret 2021, + 7.177 Sembuh\nhttps://t.co/LQalNxNzLR via @YouTube'",0,BREAKING NEWS Update Kasus Corona Indonesia per Maret Sembuh via,breaking news update kasus corona indonesia per maret sembuh via,breaking news update corona indonesia maret sembuh via
"b'Data per 22 Maret 2021, pasien konfirmasi corona di Indonesia mencapai 1.465.928 orang. Jumlah pasien sembuh 1.297.967 orang dan 39.711 orang lainnya meninggal dunia. \n#BersatuLawanCovid19 #cerdascovid19 #updatecorona #updatecovid19 #corona #viruscorona #covid19 https://t.co/cw3B8qRKDf'",0,Data per Maret pasien konfirmasi corona Indonesia mencapai orang Jumlah pasien sembuh orang dan orang lainnya meninggal dunia,data per maret pasien konfirmasi corona indonesia mencapai orang jumlah pasien sembuh orang dan orang lainnya meninggal dunia,data maret pasien konfirmasi corona indonesia capai orang pasien sembuh orang orang tinggal dunia
"b'#Rey Mbayang Positif Corona, Manajer Sebut Kondisi Cukup Parah - CNN Indonesia #Corona #Korona'",1,  ayang Positif Corona Manajer Sebut Kondisi Cukup Parah CNN Indonesia,  ayang positif corona manajer sebut kondisi cukup parah cnn indonesia, ayang positif corona manajer kondisi parah cnn indonesia
"b'#BREAKING NEWS Update Corona Indonesia 22 Maret 2021: Tambah 5.744 Kasus, Total 1.465.928 Positif - https://t.co/wXAYvAkF5n #Corona #Korona'",1,NEWS Update Corona Indonesia Maret Tambah Kasus Total Positif,news update corona indonesia maret tambah kasus total positif,news update corona indonesia maret total positif
"b'Jumlah pasien konfirmasi positif terpapar virus Corona di Indonesia bertambah 5.744. Sehingga, totalnya kini menjadi 1.465.928 kasus. #KAMUHARUSTAU\n\nhttps://t.co/5O0VIjXeoI'",1,Jumlah pasien konfirmasi positif terpapar virus Corona Indonesia bertambah Sehingga totalnya kini menjadi kasus,jumlah pasien konfirmasi positif terpapar virus corona indonesia bertambah sehingga totalnya kini menjadi kasus,pasien konfirmasi positif papar virus corona indonesia tambah total
"b'BREAKING NEWS Update Corona Indonesia 22 Maret 2021: Tambah 5.744 Kasus, Total 1.465.928 Positif\nhttps://t.co/rrxirDlN7f\n\n#BeritaSonora via @tribunnews'",1,BREAKING NEWS Update Corona Indonesia Maret Tambah Kasus Total Positif via,breaking news update corona indonesia maret tambah kasus total positif via,breaking news update corona indonesia maret total positif via
"b'BREAKING NEWS Update Corona Indonesia 22 Maret 2021: Tambah 5.744 Kasus, Total 1.465.928 Positif\n \nhttps://t.co/v3PKQv5c6v'",1,BREAKING NEWS Update Corona Indonesia Maret Tambah Kasus Total Positif,breaking news update corona indonesia maret tambah kasus total positif,breaking news update corona indonesia maret total positif
b'Ribuan Vial Vaksin Covid-19 AstraZeneca Telah Didistribusikan ke Sejumlah Provinsi Indonesia https://t.co/6ulMxc5rg9',0,Ribuan Vial Vaksin Covid AstraZeneca Telah Didistribusikan Sejumlah Provinsi Indonesia,ribuan vial vaksin covid astrazeneca telah didistribusikan sejumlah provinsi indonesia,ribu vial vaksin covid astrazeneca distribusi provinsi indonesia
b'#Update Corona Indonesia Sore Ini &amp; Dunia: RI Tambah 4.396 Kasus - https://t.co/texDkHg2E5 #Corona #Korona',0,Corona Indonesia Sore Ini amp Dunia Tambah Kasus,corona indonesia sore ini amp dunia tambah kasus,corona indonesia sore amp dunia
"b'Kemenkeu: Indonesia Butuh Rp58 Triliun untuk Vaksinasi Virus Corona: Suahasil mengatakan, vaksinasi diperlukan oleh Indonesia untuk mencapai kekebalan kelompok (herd immunity). Hingga kini sebanyak 185 juta masyarakat Indonesia ditargetkan bisa menerima\xe2\x80\xa6 https://t.co/biezGCedgR'",0,Kemenkeu Indonesia Butuh Triliun untuk Vaksinasi Virus Corona Suahasil mengatakan vaksinasi diperlukan oleh Indonesia untuk mencapai kekebalan kelompok herd immunity Hingga kini sebanyak juta masyarakat Indonesia ditargetkan bisa menerima,kemenkeu indonesia butuh triliun untuk vaksinasi virus corona suahasil mengatakan vaksinasi diperlukan oleh indonesia untuk mencapai kekebalan kelompok herd immunity hingga kini sebanyak juta masyarakat indonesia ditargetkan bisa menerima,kemenkeu indonesia butuh triliun vaksinasi virus corona suahasil vaksinasi indonesia capai kebal kelompok herd immunity juta masyarakat indonesia target terima
b'Cuk!. \xf0\x9f\x96\x95\n\nIndonesia Diminta Tak Boleh Gugat Jika Efek Vaksin Corona Membahayakan https://t.co/xi1HNYdNyA',-1,Cuk Indonesia Diminta Tak Boleh Gugat Jika Efek Vaksin Corona Membahayakan,cuk indonesia diminta tak boleh gugat jika efek vaksin corona membahayakan,cuk indonesia gugat efek vaksin corona bahaya
"b'Sebelum ada virus Corona, Indonesia pernah dihebohkan oleh virus Brontok.\n\n#menolaktua\n#menolaklupa'",-1,Sebelum ada virus Corona Indonesia pernah dihebohkan oleh virus Brontok,sebelum ada virus corona indonesia pernah dihebohkan oleh virus brontok,virus corona indonesia heboh virus brontok
b'@KBinsa @TjahjantoHadi @Puspen_TNI @DivHumas_Polri @kemkominfo @KemenkesRI @Kemdikbud_RI @WHO yukk...ambil bagian kalian untuk Indonesia Sehat. Kita dukung program vaksinasi nasional demi memutus mata rantai penyebaran virus corona.',1,TNI Polri RI yukkambil bagian kalian untuk Indonesia Sehat Kita dukung program vaksinasi nasional demi memutus mata rantai penyebaran virus corona,tni polri ri yukkambil bagian kalian untuk indonesia sehat kita dukung program vaksinasi nasional demi memutus mata rantai penyebaran virus corona,tni polri ri yukkambil indonesia sehat dukung program vaksinasi nasional putus mata rantai sebar virus corona
"b'WASPADA COVID-19\nYuk patuhi protokol kesehatan 5M untuk mencegah penyebaran virus Corona,\n\n.\n\n#HumasPoldaKepri #PoldaKepri #Multimediapoldakepri #Adaptasikebiasaanbaru #LawanCovid19 #Kepri #Indonesia #DisiplinBersamaPolri https://t.co/UOi2bvhFEU'",0,WASPADA COVID Yuk patuhi protokol kesehatan untuk mencegah penyebaran virus Corona,waspada covid yuk patuhi protokol kesehatan untuk mencegah penyebaran virus corona,waspada covid yuk patuh protokol sehat cegah sebar virus corona
"b'Pasien Sembuh Corona di Indonesia Capai 88,4 Persen https://t.co/BVbeZR8wNt https://t.co/ZqBKMOzv80'",0,Pasien Sembuh Corona Indonesia Capai Persen,pasien sembuh corona indonesia capai persen,pasien sembuh corona indonesia capai persen
"b'Program vaksinasi mandiri nampaknya akan segera berjalan. Hal ini terungkap setelah Menteri BUMN menyatakan bahwa kemungkinan akan ada 3,5 juta dosis vaksin corona yang akan tiba di Indonesia pada bulan Maret 2021.'",0,Program vaksinasi mandiri nampaknya akan segera berjalan Hal ini terungkap setelah Menteri BUMN menyatakan bahwa kemungkinan akan ada juta dosis vaksin corona yang akan tiba Indonesia pada bulan Maret,program vaksinasi mandiri nampaknya akan segera berjalan hal ini terungkap setelah menteri bumn menyatakan bahwa kemungkinan akan ada juta dosis vaksin corona yang akan tiba indonesia pada bulan maret,program vaksinasi mandiri nampaknya jalan ungkap menteri bumn juta dosis vaksin corona indonesia maret
b'Yukk cek gejala Corona varian baru B117 #pcr #pcrtest #swab #swabantigen #jakarta #indonesia https://t.co/Cc5gMaK1qQ',1,Yukk cek gejala Corona varian baru,yukk cek gejala corona varian baru,yukk cek gejala corona varian
b'Pemerintah Indonesia diminta mengedukasi publik tentang pentingnya imunisasi virus corona karena keputusan MUI mengharamkan vaksin AstraZeneca - namun boleh digunakan lantaran darurat - dikhawatirkan mengurangi minat melakukan vaksinasi.https://t.co/w86iESnfkx',0,Pemerintah Indonesia diminta mengedukasi publik tentang pentingnya imunisasi virus corona karena keputusan MUI mengharamkan vaksin AstraZeneca namun boleh digunakan lantaran darurat dikhawatirkan mengurangi minat melakukan vaksinasi,pemerintah indonesia diminta mengedukasi publik tentang pentingnya imunisasi virus corona karena keputusan mui mengharamkan vaksin astrazeneca namun boleh digunakan lantaran darurat dikhawatirkan mengurangi minat melakukan vaksinasi,perintah indonesia edukasi publik imunisasi virus corona putus mui haram vaksin astrazeneca lantar darurat khawatir kurang minat vaksinasi
"b'Pemerintah sudah mulai mendistribusikan vaksin corona AstraZeneca ke berbagai daerah di Indonesia. Di antaranya, Kemenkes mengungkap jika vaksin ini sampai di Jawa Timur dan Bali. https://t.co/6CipBYIcFt'",-1,Pemerintah sudah mulai mendistribusikan vaksin corona AstraZeneca berbagai daerah Indonesia antaranya Kemenkes mengungkap jika vaksin ini sampai Jawa Timur dan Bali,pemerintah sudah mulai mendistribusikan vaksin corona astrazeneca berbagai daerah indonesia antaranya kemenkes mengungkap jika vaksin ini sampai jawa timur dan bali,perintah distribusi vaksin corona astrazeneca daerah indonesia kemenkes ungkap vaksin jawa timur bal
"b'Janggal gk sih? penumpang anonim yg positif corona bisa ada di dlm pesawat yg ada rombongan tim bultang indonesia,, https://t.co/Md0DD3piMF'",-1,Janggal sih penumpang anonim positif corona bisa ada dlm pesawat ada rombongan tim bultang indonesia,janggal sih penumpang anonim positif corona bisa ada dlm pesawat ada rombongan tim bultang indonesia,janggal sih tumpang anonim positif corona dlm pesawat rombong tim bultang indonesia
"b'PPKM Mikro Dilanjutkan, Airlangga Hartarto: Perkembangan yang Membaik\n\nhttps://t.co/WQmbHL5wJx \n\n#ppkm #mikro #airlanggahartarto #hartarto #perkembangan #membaik #efektif #covid19 #nasional #indonesia #virus #corona #persentasi #aktif #kesehatan #prmn #pikiranrakyat'",1,PPKM Mikro Dilanjutkan Airlangga Hartarto Perkembangan yang Membaik,ppkm mikro dilanjutkan airlangga hartarto perkembangan yang membaik,ppkm mikro lanjut airlangga hartarto kembang baik
"b""Wakil Presiden Ma'ruf Amin meminta kehalalan vaksin Corona merek AstraZeneca tidak lagi menjadi persoalan. Sebab, menurutnya Majelis Ulama Indonesia (MUI) sudah memperbolehkan\nhttps://t.co/2eOaDSnbFV""",0,Wakil Presiden ruf Amin meminta kehalalan vaksin Corona merek AstraZeneca tidak lagi menjadi persoalan Sebab menurutnya Majelis Ulama Indonesia MUI sudah memperbolehkan,wakil presiden ruf amin meminta kehalalan vaksin corona merek astrazeneca tidak lagi menjadi persoalan sebab menurutnya majelis ulama indonesia mui sudah memperbolehkan,wakil presiden ruf amin halal vaksin corona merek astrazeneca turut majelis ulama indonesia mui boleh
b'Ketua Majelis Ulama Indonesia Jawa Timur (MUI Jatim) KH Hasan Mutawakkil Alallah bersama sejumlah ulama lainnya di Jatim menjalani vaksinasi di Pendopo Delta Wibawa Sidoarjo. #kumparanNews https://t.co/xl5UNZxeUO',-1,Ketua Majelis Ulama Indonesia Jawa Timur MUI Jatim Hasan Mutawakkil Alallah bersama sejumlah ulama lainnya Jatim menjalani vaksinasi Pendopo Delta Wibawa Sidoarjo,ketua majelis ulama indonesia jawa timur mui jatim hasan mutawakkil alallah bersama sejumlah ulama lainnya jatim menjalani vaksinasi pendopo delta wibawa sidoarjo,ketua majelis ulama indonesia jawa timur mui jatim hasan mutawakkil alallah ulama jatim jalan vaksinasi pendopo delta wibawa sidoarjo
"b'Sebenarnya dari tahun 2016/2017 aku dah tau BTS tp cuma tau aja, itu karena ada temen sekelas aku yg jadi army terus sering sebutin BTS gitu. Terus tahun 2020 corona muncul di Indonesia dan semua aktivitas ditiadakan, nah pas itu aku gabut banget (+)\n#ArmyConfessionTime https://t.co/Oa2IlFdols'",1,Sebenarnya dari tahun aku dah tau BTS cuma tau aja itu karena ada temen sekelas aku jadi army terus sering sebutin BTS gitu Terus tahun corona muncul Indonesia dan semua aktivitas ditiadakan nah pas itu aku gabut banget,sebenarnya dari tahun aku dah tau bts cuma tau aja itu karena ada temen sekelas aku jadi army terus sering sebutin bts gitu terus tahun corona muncul indonesia dan semua aktivitas ditiadakan nah pas itu aku gabut banget,dah tau bts tau aja temen kelas army sebutin bts gitu corona muncul indonesia aktivitas tiada pas gabut banget
b'Prof Zubairi Djoerban selaku Ketua Satgas Ikatan Dokter Indonesia (IDI) mengatakan bahwa varian baru virus corona yakni B117 lebih mematikan ketimbang virus yang ada saat ini. #KAMUHARUSTAU #Satgas #Covid19 #Corona\nhttps://t.co/lBpWLRn4HH',1,Prof Zubairi Djoerban selaku Ketua Satgas Ikatan Dokter Indonesia IDI mengatakan bahwa varian baru virus corona yakni lebih mematikan ketimbang virus yang ada saat ini,prof zubairi djoerban selaku ketua satgas ikatan dokter indonesia idi mengatakan bahwa varian baru virus corona yakni lebih mematikan ketimbang virus yang ada saat ini,prof zubairi djoerban ketua satgas ikat dokter indonesia idi varian virus corona mati ketimbang virus
"b'corona hilang, gw mau tamasya ke indonesia bagian timur bismillah!!'",0,corona hilang mau tamasya indonesia bagian timur bismillah,corona hilang mau tamasya indonesia bagian timur bismillah,corona hilang tamasya indonesia timur bismillah
"b'Jaga Diri, Jaga Keluarga dan Jaga Negara, akhiri wabah Corona di Indonesia Dengan Tertib memakai Masker. https://t.co/DeqlxDrWxp'",0,Jaga Diri Jaga Keluarga dan Jaga Negara akhiri wabah Corona Indonesia Dengan Tertib memakai Masker,jaga diri jaga keluarga dan jaga negara akhiri wabah corona indonesia dengan tertib memakai masker,jaga jaga keluarga jaga negara wabah corona indonesia tertib pakai masker
